corrida;best_fitness;gap_pct;optimo_alcanzado;generacion_mejor;tiempo_s;diversidad_unica_final_pct;jaccard_final
0;5.081936224827504;1.7477165796787866e-14;True;68;0.16298484802246094;2.0;0.0
1;5.081936224827505;0.0;True;77;0.17239904403686523;2.0;0.0
2;5.081936224827504;1.7477165796787866e-14;True;67;0.16397500038146973;2.0;0.0
3;5.081936224827504;1.7477165796787866e-14;True;74;0.3852827548980713;2.0;0.0
4;5.081936224827505;0.0;True;48;0.38982701301574707;2.0;0.0
5;5.081936224827505;0.0;True;65;0.5001347064971924;2.0;0.0
6;5.081936224827505;0.0;True;45;0.36260461807250977;2.0;0.0
7;5.081936224827505;0.0;True;67;0.4689335823059082;2.0;0.0
8;5.081936224827506;0.0;True;48;0.3763422966003418;2.0;0.0
9;5.081936224827504;1.7477165796787866e-14;True;63;0.15555930137634277;2.0;0.0
